subject,level,true_time,min_time,coco_count,rmi
48578,10,153.79791259765625,343.9866943359375,348,0.5763249611220361
48578,3,170.36138916015625,497.7843017578125,353,0.4306541178471244
48578,9,154.84649658203125,668.1456298828125,358,0.42504562692799064
48578,8,107.986328125,822.99200439453125,241,0.5404741296375403
48578,7,183.793212890625,930.96441650390625,347,0.19146631019210658
48578,2,122.051025390625,1114.77099609375,281,0.26847941290855915
48578,4,285.8299560546875,1236.822998046875,317,0.5077962442869322
48578,6,99.7550048828125,1522.6529541015625,242,0.3906418017788089
48580,5,144.57549285888672,81.08930206298828,345,0.29310889788821637
48580,7,113.47091674804688,225.76890563964844,280,0.2903554222181213
48580,3,128.6724853515625,339.2395935058594,278,0.33734938542058013
48580,6,77.873992919921875,467.912109375,211,0.6428245206932734
48580,8,103.9296875,545.786376953125,204,0.8275304388956644
48580,10,152.4775390625,649.7156982421875,348,0.4412446123804673
48580,4,150.58856201171875,802.1934814453125,344,0.48523039166365145
48580,9,138.77001953125,952.78240966796875,339,0.5447619772307528
48580,1,150.9620361328125,1091.551025390625,349,0.4180603274939554
48580,2,91.8609619140625,1242.5140380859375,209,0.7479370584562781
48581,1,166.20699310302734,64.24610137939453,345,0.3500075694236324
48581,3,158.29061889648438,230.5695037841797,338,0.34751063379206404
48581,5,158.13916015625,388.86029052734375,343,0.4376448137073541
48581,8,127.72711181640625,546.9840087890625,250,0.424736339957722
48581,7,130.7264404296875,674.72607421875,296,0.4551245070824912
48581,9,140.0238037109376,805.4365844726564,350,0.6003843621676918
48581,4,153.7907714843749,945.46051025390625,301,0.5754114468000358
48581,2,122.5279541015625,1099.2679443359375,280,0.48552824296054076
48581,6,124.3740234375,1221.7939453125,269,0.45329718942018615
48581,10,155.9410400390625,1346.1529541015625,347,0.5734570124929899
48588,1,177.40027618408203,50.14643096923828,341,0.3689486509152151
48588,5,156.03419494628906,227.6475067138672,282,0.29288621464083864
48588,10,155.91671752929688,383.6965026855469,287,0.2826212667130549
