subject,level,obj_ID,point_value,x,y,new_x,new_y,time
48496,10,43,2,10,-10,10,-10,1405.1529541015625
48496,10,48,2,5,-15,5,-15,1405.751953125
48496,10,51,2,10,-18.5,10,-18.5,1405.9930419921875
48496,10,50,2,15,-15,15,-15,1406.510986328125
48496,10,45,2,18.5,-10,18.5,-10,1407.0760498046875
48496,10,42,2,5,-10,5,-10,1408.4300537109375
48496,10,46,2,7.5,-12.5,7.5,-12.5,1408.6510009765625
48496,10,47,2,12.5,-12.5,12.5,-12.5,1409.0760498046875
48496,10,44,2,15,-10,15,-10,1409.31005859375
48496,10,40,2,12.5,-7.5,12.5,-7.5,1409.5350341796875
48496,10,37,2,10,-5,10,-5,1409.81005859375
48496,10,39,2,7.5,-7.5,7.5,-7.5,1409.9759521484375
48496,10,36,2,5,-5,5,-5,1410.198974609375
48496,10,49,2,10,-15,10,-15,1411.1929931640625
48496,10,48,2,5,-15,5,-15,1411.3360595703125
48496,10,43,2,10,-10,10,-10,1411.8759765625
48496,10,38,2,15,-5,15,-5,1412.81005859375
48496,10,17,2,15,6.5,15,6.5,1414.4759521484375
48496,10,15,2,15,10,15,10,1414.7349853515625
48496,10,13,2,17.5,12.5,17.5,12.5,1415.0350341796875
48496,10,16,2,20,10,20,10,1415.0699462890625
48496,10,10,2,20,15,20,15,1415.3349609375
48496,10,11,2,23.5,15,23.5,15,1415.47802734375
48496,10,6,2,17.5,17.5,17.5,17.5,1415.7769775390625
48496,10,9,2,15,15,15,15,1415.9930419921875
48496,10,5,2,12.5,17.5,12.5,17.5,1416.2099609375
48496,10,8,2,10,15,10,15,1416.4100341796875
48496,10,7,2,6.5,15,6.5,15,1416.708984375
48496,10,14,2,10,10,10,10,1417.1510009765625
48496,10,12,2,12.5,12.5,12.5,12.5,1417.279052734375
48496,10,35,2,10,-1.5,10,-1.5,1418.4759521484375
48496,10,37,2,10,-5,10,-5,1418.7509765625
48496,10,38,2,15,-5,15,-5,1419.010009765625
48496,10,40,2,12.5,-7.5,12.5,-7.5,1419.4520263671875
48496,10,43,2,10,-10,10,-10,1419.7349853515625
48496,10,46,2,7.5,-12.5,7.5,-12.5,1420.0350341796875
48496,10,49,2,10,-15,10,-15,1420.2760009765625
48496,10,50,2,15,-15,15,-15,1420.7099609375
48496,10,45,2,18.5,-10,18.5,-10,1421.1929931640625
48496,10,44,2,15,-10,15,-10,1421.3509521484375
48496,10,39,2,7.5,-7.5,7.5,-7.5,1421.9759521484375
48496,10,42,2,5,-10,5,-10,1422.176025390625
48496,10,48,2,5,-15,5,-15,1422.636962890625
48496,10,47,2,12.5,-12.5,12.5,-12.5,1423.31005859375
48496,10,41,2,1.5,-10,1.5,-10,1424.29296875
48496,10,46,2,7.5,-12.5,7.5,-12.5,1425.052001953125
48496,10,49,2,10,-15,10,-15,1425.29296875
48496,10,43,2,10,-10,10,-10,1425.512939453125
48496,10,40,2,12.5,-7.5,12.5,-7.5,1425.6090087890625
48496,10,37,2,10,-5,10,-5,1426.010009765625
48496,10,35,2,10,-1.5,10,-1.5,1426.137939453125
48496,10,36,2,5,-5,5,-5,1426.5350341796875
48496,10,42,2,5,-10,5,-10,1427.1949462890625
48496,10,44,2,15,-10,15,-10,1428.0760498046875
48496,10,45,2,18.5,-10,18.5,-10,1428.2110595703125
48496,10,38,2,15,-5,15,-5,1428.551025390625
48496,10,39,2,7.5,-7.5,7.5,-7.5,1429.3759765625
48496,10,46,2,7.5,-12.5,7.5,-12.5,1430.0760498046875
48496,10,49,2,10,-15,10,-15,1430.3089599609375
48496,10,50,2,15,-15,15,-15,1430.4510498046875
48496,10,47,2,12.5,-12.5,12.5,-12.5,1430.4759521484375
48496,10,43,2,10,-10,10,-10,1430.6929931640625
48496,10,48,2,5,-15,5,-15,1431.4930419921875
48496,10,42,2,5,-10,5,-10,1432.4100341796875
48496,10,37,2,10,-5,10,-5,1432.8929443359375
48496,10,35,2,10,-1.5,10,-1.5,1433.176025390625
48496,10,17,2,15,6.5,15,6.5,1434.052001953125
48496,10,15,2,15,10,15,10,1434.2769775390625
48496,10,13,2,17.5,12.5,17.5,12.5,1434.551025390625
48496,10,10,2,20,15,20,15,1434.85498046875
48496,10,6,2,17.5,17.5,17.5,17.5,1435.0699462890625
48496,10,3,2,15,20,15,20,1435.3509521484375
48496,10,5,2,12.5,17.5,12.5,17.5,1435.510009765625
48496,10,8,2,10,15,10,15,1435.7760009765625
48496,10,12,2,12.5,12.5,12.5,12.5,1436.134033203125
48496,10,16,2,20,10,20,10,1436.8089599609375
48496,10,37,2,10,-5,10,-5,1438.708984375
48496,10,40,2,12.5,-7.5,12.5,-7.5,1438.7509765625
48496,10,39,2,7.5,-7.5,7.5,-7.5,1438.9759521484375
48496,10,42,2,5,-10,5,-10,1439.4339599609375
48496,10,41,2,1.5,-10,1.5,-10,1439.5360107421875
48496,10,48,2,5,-15,5,-15,1439.85302734375
48496,10,49,2,10,-15,10,-15,1440.3929443359375
48496,10,50,2,15,-15,15,-15,1440.8089599609375
48496,10,44,2,15,-10,15,-10,1441.2760009765625
48496,10,47,2,12.5,-12.5,12.5,-12.5,1441.3089599609375
48496,10,43,2,10,-10,10,-10,1441.5350341796875
48496,10,46,2,7.5,-12.5,7.5,-12.5,1441.7340087890625
48496,10,45,2,18.5,-10,18.5,-10,1442.4759521484375
48496,10,38,2,15,-5,15,-5,1442.7509765625
48496,10,35,2,10,-1.5,10,-1.5,1443.1929931640625
48496,10,37,2,10,-5,10,-5,1443.7340087890625
48496,10,17,2,15,6.5,15,6.5,1444.7099609375
48496,10,14,2,10,10,10,10,1445.2359619140625
48496,10,12,2,12.5,12.5,12.5,12.5,1445.3509521484375
