subject,level,total_time,total_distance,start_time,rmi
48498,2,129.5001983642578,1470.3290549899482,253.0131072998047,0.1758037405601076
48498,3,169.13583374023438,1887.1522367505834,382.6167907714844,0.275141819079445
48498,4,180.39544677734375,2041.1734418050246,551.86932373046875,0.25888869312728
48498,5,168.617919921875,1865.1626595269545,1165.18603515625,0.24130859286518413
48498,6,110.4840087890625,1224.4107995586423,1054.5849609375,0.24035736090877102
48498,7,150.698974609375,1578.5299848782352,1512.134033203125,0.23993522053496297
48498,8,134.68475341796875,1490.6115699625639,732.36492919921875,0.28965069050323655
48498,9,178.097900390625,1913.1918262705901,1333.9200439453125,0.3218079138316271
48498,10,195.90160369873047,2251.2487687721755,57.01129913330078,0.28135005179882056
48501,1,165.52801513671875,1921.0438350764318,466.168212890625,0.4547654479292106
48501,2,101.28173828125,1147.8130522311951,631.8134765625,0.49962361743326555
48501,3,151.92570114135742,1749.6001056548234,53.39799880981445,0.46446261013628365
48501,4,160.397216796875,1853.4599400763527,976.11279296875,0.44599905992328703
48501,5,138.0029296875,1560.9872953837162,1293.7900390625,0.4233791714759292
48501,6,105.548095703125,1145.9709947716037,360.5046081542969,0.3727922519487845
48501,7,132.52239990234375,1517.2874403518817,733.1956787109375,0.37598166450542236
48501,8,110.16278076171875,1253.5723898878632,865.83349609375,0.7027868467908617
48501,9,154.96388244628906,1784.6786417695835,205.43980407714844,0.4345856818401399
48501,10,157.06396484375,1751.4528759751279,1136.625,0.31197704870721343
48504,1,175.96527099609386,2019.4981564747266,791.8922119140625,0.33702004305850264
48504,2,113.73291015625,1283.8668288323906,967.97412109375,0.31117943000508097
48504,3,161.748046875,1843.8461449817833,1239.4549560546875,0.38819971349443927
48504,4,195.5827751159668,2224.631850033913,46.78023147583008,0.3052548719386452
48504,5,165.597900390625,1900.0069682859876,626.19342041015625,0.25425766566761865
48504,6,112.28279113769531,1262.8612761839306,242.47959899902344,0.17365153420971102
48504,7,132.14999389648438,1508.1239799681407,493.9269104003906,0.2888387042706275
48504,8,138.94851684570313,1567.7472700974722,354.86279296875,0.38619390785939156
48504,9,157.5159912109375,1751.7710500091307,1081.822998046875,0.3149974651839148
48508,1,213.7349853515625,2355.675053378805,1796.135986328125,0.23038324875583194
48508,2,153.37506103515625,1696.9266890427357,608.61712646484375,0.21340369726759056
48508,3,192.0899658203125,2080.0375090545704,2009.9720458984375,0.2146225574594307
48508,4,276.06878662109375,2815.88687192643,76.711700439453125,0.23185828272445308
48508,5,195.9895019531251,2207.88047050339,762.10821533203125,0.27491510281635834
48508,6,245.785888671875,1343.5149645188148,1403.5550537109375,0.23672295938893706
48508,7,181.489013671875,1811.3803743305277,1221.949951171875,0.20487031632649777
48508,8,146.5579833984375,1536.615241443597,1649.4580078125,0.3017041357213762
48508,9,263.6358642578125,2741.20217074447,958.214111328125,0.33534160887490416
48508,10,255.62081909179688,2885.8988914490596,352.8807067871094,0.2330615262522051
48511,1,212.34808349609364,2228.6820724553454,787.74090576171875,0.942012901127721
48511,2,169.58251953125,1743.3831037579132,404.40960693359375,0.8363459663194011
48511,3,193.882080078125,2083.347955763638,1220.8719482421875,0.9606994960914996
48511,4,333.3651657104492,2403.8772590166686,70.9278335571289,0.5365427583594847
48511,5,220.54803466796875,2125.996510947987,1000.2069702148438,0.818562029053374
48511,6,141.583984375,1490.5985037621897,1691.802001953125,0.8734837994158364
48511,7,221.615966796875,2277.552310393195,2142.5,0.8584409325090732
48511,8,213.531494140625,1936.504032549742,574.1085205078125,0.5526495388428756
48511,9,302.7490234375,1940.717549257555,1839.635009765625,0.6430969577369402
48511,10,276.8150634765625,2288.682006129069,1414.8709716796875,0.7561404604176509
48527,1,219.5169677734375,2492.6040373000833,1250.822021484375,0.5057933523872472
