subject,level,collection_num,choice,obj_ID,point_value,distance,turning_angle,neighbor_value,used,time
48626,6,22,68,68,5,7.587025009555686,-0.7018743654746791,0.6034068236642477,1,232.32229614257812
48626,6,23,66,1,1,26.735759067459238,-2.265968650899703,0.613407053921902,0,233.43930053710932
48626,6,23,66,2,4,20.906522551245107,-2.189463135456048,0.682842712474619,0,233.43930053710932
48626,6,23,66,3,2,24.152225089019474,-2.3589225656677906,0.8513997106635237,0,233.43930053710932
48626,6,23,66,4,1,27.920910950676433,-2.4855414484267238,0.682842712474619,0,233.43930053710932
48626,6,23,66,5,4,20.616706595673122,-2.3593903994454393,0.848528137423857,0,233.43930053710932
48626,6,23,66,6,2,24.41917038756667,-2.5042178795056174,0.848528137423857,0,233.43930053710932
48626,6,23,66,7,5,14.803516503115823,-2.1927370032457105,0.613407053921902,0,233.43930053710932
48626,6,23,66,8,5,17.08119448263152,-2.360051900438557,0.8513997106635237,0,233.43930053710932
48626,6,23,66,9,2,20.928795868812493,-2.5291350614685664,0.848528137423857,0,233.43930053710932
48626,6,23,66,10,2,25.18455455399925,-2.64351778132791,0.8513997106635237,0,233.43930053710932
48626,6,23,66,11,1,28.308742327747858,-2.702617790948512,0.613407053921902,0,233.43930053710932
48626,6,23,66,12,4,17.456606503551395,-2.56399390894442,0.848528137423857,0,233.43930053710932
48626,6,23,66,13,4,21.816975092454367,-2.689457892272891,0.848528137423857,0,233.43930053710932
48626,6,23,66,14,5,14.016123740936463,-2.6160579180038086,0.682842712474619,0,233.43930053710932
48626,6,23,66,15,5,18.512131597581735,-2.7519751684857527,0.8513997106635237,0,233.43930053710932
48626,6,23,66,16,4,23.215217161403544,-2.8338739384448726,0.682842712474619,0,233.43930053710932
48626,6,23,66,17,5,17.4850845043316,-2.9382187027262763,0.613407053921902,0,233.43930053710932
48626,6,23,66,18,1,30.828526895188563,-3.911937370788985,0.613407053921902,0,233.43930053710932
48626,6,23,66,19,2,28.50208600593879,-3.8236943505502534,0.8513997106635237,0,233.43930053710932
48626,6,23,66,20,4,24.82179717758145,-3.9510285440413293,0.682842712474619,0,233.43930053710932
48626,6,23,66,21,1,32.53638268546264,-3.7266620187571484,0.682842712474619,0,233.43930053710932
48626,6,23,66,22,4,24.98805716784681,-3.8091045020592174,0.848528137423857,0,233.43930053710932
48626,6,23,66,23,2,29.08006692888656,-3.702466404830279,0.848528137423857,0,233.43930053710932
48626,6,23,66,24,5,18.80994394626869,-3.902317424372316,0.613407053921902,0,233.43930053710932
48626,6,23,66,25,5,21.481086922156177,-3.7897455031566487,0.8513997106635237,0,233.43930053710932
48626,6,23,66,26,2,25.64535799949321,-3.671767492462455,0.848528137423857,0,233.43930053710932
48626,6,23,66,27,2,30.065456565419257,-3.5875708411686538,0.8513997106635237,0,233.43930053710932
48626,6,23,66,28,1,33.25740192171617,-3.54216106863608,0.613407053921902,0,233.43930053710932
48626,6,23,66,29,4,22.24226789821171,-3.6316265336105613,0.848528137423857,0,233.43930053710932
48626,6,23,66,30,4,26.757536748003552,-3.5435644946515183,0.848528137423857,0,233.43930053710932
48626,6,23,66,31,5,18.887894948603137,-3.5771121076937997,0.682842712474619,0,233.43930053710932
48626,6,23,66,32,5,23.51594920802495,-3.487290251040341,0.8513997106635237,0,233.43930053710932
48626,6,23,66,33,4,28.27095963562876,-3.4273247857336937,0.682842712474619,0,233.43930053710932
48626,6,23,66,34,5,22.571457713603177,-3.340878269078527,0.613407053921902,0,233.43930053710932
48626,6,23,66,35,1,26.718529812112802,-1.2716030610032725,0.613407053921902,0,233.43930053710932
48626,6,23,66,36,2,23.39677326381126,-1.2274962313644149,0.8513997106635237,0,233.43930053710932
48626,6,23,66,37,4,22.21837731975796,-1.441022798603178,0.682842712474619,0,233.43930053710932
48626,6,23,66,38,1,25.517870357717,-1.0419252365056613,0.682842712474619,0,233.43930053710932
48626,6,23,66,39,4,20.25771223076645,-1.3022351998355521,0.848528137423857,0,233.43930053710932
48626,6,23,66,40,2,22.116229634808988,-1.0824968775818404,0.848528137423857,0,233.43930053710932
48626,6,23,66,41,5,17.043001924143383,-1.6074605921926557,0.613407053921902,0,233.43930053710932
48626,6,23,66,42,5,17.272544991717233,-1.4035529685662507,0.8513997106635237,0,233.43930053710932
48626,6,23,66,43,2,18.764155161529512,-1.1376841979050343,0.848528137423857,0,233.43930053710932
48626,6,23,66,44,2,21.350555668670857,-0.9234879139427514,0.8513997106635237,0,233.43930053710932
48626,6,23,66,45,1,23.626745930524464,-0.8050406434853499,0.613407053921902,0,233.43930053710932
48626,6,23,66,46,4,15.493851186593536,-1.2165012679189926,0.848528137423857,0,233.43930053710932
48626,6,23,66,47,4,17.85531105938411,-0.950747653151724,0.848528137423857,0,233.43930053710932
48626,6,23,66,48,5,12.370340749496647,-1.3362182579121529,0.682842712474619,0,233.43930053710932
48626,6,23,66,49,5,14.379778812405839,-0.9912279325311579,0.8513997106635237,0,233.43930053710932
48626,6,23,66,50,4,17.621882621580887,-0.7515359381517293,0.682842712474619,0,233.43930053710932
48626,6,23,66,51,5,11.610650392254033,-0.8253771197978019,0.613407053921902,0,233.43930053710932
48626,6,23,66,52,1,16.71756839181154,-4.885239384018798,0.6034068236642477,0,233.43930053710932
48626,6,23,66,53,,,,,0,233.43930053710932
48626,6,23,66,54,2,13.283370396757874,-4.930572354251868,0.7685569981889047,0,233.43930053710932
48626,6,23,66,55,1,15.17236426970174,-5.258132365582185,0.682842712474619,0,233.43930053710932
48626,6,23,66,56,,,,,0,233.43930053710932
48626,6,23,66,57,2,11.767838519928462,-5.1867570602554665,0.848528137423857,0,233.43930053710932
48626,6,23,66,58,,,,,0,233.43930053710932
48626,6,23,66,59,,,,,0,233.43930053710932
48626,6,23,66,60,2,8.47132866377537,-5.058680729594507,0.765685424949238,0,233.43930053710932
48626,6,23,66,61,2,11.203397599155391,-5.4919059465412206,0.8513997106635237,0,233.43930053710932
48626,6,23,66,62,1,13.888592933386082,-5.672119442922414,0.613407053921902,0,233.43930053710932
48626,6,23,66,63,,,,,0,233.43930053710932
48626,6,23,66,64,4,7.667953029547774,-5.489194260933838,0.848528137423857,0,233.43930053710932
48626,6,23,66,65,,,,,0,233.43930053710932
48626,6,23,66,66,5,4.132661317110436,-5.481842986272966,0.682842712474619,1,233.43930053710932
48626,6,23,66,67,4,8.416151020329872,-5.922720750613675,0.682842712474619,0,233.43930053710932
48626,6,23,66,68,,,,,0,233.43930053710932
48626,6,24,64,1,1,28.466280276702342,3.7855231128842917,0.613407053921902,0,233.67230224609372
48626,6,24,64,2,4,22.52560879088382,3.8407950679560874,0.682842712474619,0,233.67230224609372
48626,6,24,64,3,2,26.027396110741847,3.693264453802827,0.8513997106635237,0,233.67230224609372
48626,6,24,64,4,1,29.95743055088299,3.5825088209630427,0.682842712474619,0,233.67230224609372
48626,6,24,64,5,4,22.499620874702195,3.6835906677774366,0.848528137423857,0,233.67230224609372
48626,6,24,64,6,2,26.481224224171594,3.559609141548452,0.848528137423857,0,233.67230224609372
48626,6,24,64,7,5,16.45523998218645,3.807917713497771,0.613407053921902,0,233.67230224609372
48626,6,24,64,8,5,18.974734008813133,3.67032107871611,0.8513997106635237,0,233.67230224609372
