nn_weight,ta_weight,clst_weight,pv_weight,obj_ID,x,y,point_value,time,dist,points,strategy,forager,level
2.025271209982657,0.0,0.0,1.0,29,12.5,-12.5,2.0,32.70996364559222,3.5355339059327378,174.0,nn,0,1
2.025271209982657,0.0,0.0,1.0,32,15.0,-10.0,2.0,33.01740137654289,3.5355339059327378,176.0,nn,0,1
2.025271209982657,0.0,0.0,1.0,34,15.0,-6.5,2.0,33.321749202629846,3.5,178.0,nn,0,1
2.025271209982657,0.0,0.0,1.0,33,20.0,-10.0,2.0,33.85246901200957,6.103277807866851,180.0,nn,0,1
2.025271209982657,0.0,0.0,1.0,30,17.5,-12.5,2.0,34.159906742960246,3.5355339059327378,182.0,nn,0,1
2.025271209982657,0.0,0.0,1.0,27,20.0,-15.0,2.0,34.46734447391092,3.5355339059327378,184.0,nn,0,1
2.025271209982657,0.0,0.0,1.0,28,23.5,-15.0,2.0,34.77169229999787,3.5,186.0,nn,0,1
2.025271209982657,0.0,0.0,1.0,21,20.0,-20.0,2.0,35.3024121093776,6.103277807866851,188.0,nn,0,1
2.025271209982657,0.0,0.0,1.0,23,17.5,-17.5,2.0,35.60984984032827,3.5355339059327378,190.0,nn,0,1
2.025271209982657,0.0,0.0,1.0,19,15.0,-20.0,2.0,35.91728757127895,3.5355339059327378,192.0,nn,0,1
2.025271209982657,0.0,0.0,1.0,18,15.0,-23.5,2.0,36.2216353973659,3.5,194.0,nn,0,1
2.025271209982657,0.0,0.0,1.0,20,10.0,-20.0,2.0,36.75235520674563,6.103277807866851,196.0,nn,0,1
2.025271209982657,0.0,0.0,1.0,22,12.5,-17.5,2.0,37.0597929376963,3.5355339059327378,198.0,nn,0,1
2.025271209982657,0.0,0.0,1.0,25,10.0,-15.0,2.0,37.367230668646975,3.5355339059327378,200.0,nn,0,1
2.025271209982657,0.0,0.0,1.0,24,6.5,-15.0,2.0,37.67157849473393,3.5,202.0,nn,0,1
2.025271209982657,0.0,0.0,1.0,31,10.0,-10.0,2.0,38.202298304113654,6.103277807866851,204.0,nn,0,1
2.025271209982657,0.0,0.0,1.0,29,12.5,-12.5,2.0,38.50973603506433,3.5355339059327378,206.0,nn,0,1
2.025271209982657,0.0,0.0,1.0,32,15.0,-10.0,2.0,38.817173766015,3.5355339059327378,208.0,nn,0,1
2.025271209982657,0.0,0.0,1.0,34,15.0,-6.5,2.0,39.121521592101956,3.5,210.0,nn,0,1
2.025271209982657,0.0,0.0,1.0,33,20.0,-10.0,2.0,39.65224140148168,6.103277807866851,212.0,nn,0,1
2.025271209982657,0.0,0.0,1.0,30,17.5,-12.5,2.0,39.959679132432356,3.5355339059327378,214.0,nn,0,1
2.025271209982657,0.0,0.0,1.0,26,15.0,-15.0,2.0,40.26711686338303,3.5355339059327378,216.0,nn,0,1
