subject,level,x,y,rotation,time
1,_level_8,5.840398788452148,15.329500198364258,109,324.7587890625
1,_level_8,6.890841007232666,14.752969741821289,123,324.8594055175781
1,_level_8,7.97496223449707,13.807760238647461,135,324.97540283203125
1,_level_8,8.993194580078125,12.789529800415039,135,325.0914001464844
1,_level_8,9.841721534729004,11.940999984741211,135,325.19158935546875
1,_level_8,10.690250396728516,11.092479705810547,135,325.2921142578125
1,_level_8,11.708479881286621,10.074239730834961,135,325.40838623046875
1,_level_8,12.55700969696045,9.225715637207031,135,325.5091857910156
1,_level_8,13.575240135192871,8.207483291625977,135,325.62548828125
1,_level_8,14.4237699508667,7.3589558601379395,135,325.7257080078125
1,_level_8,15.414259910583496,6.314662933349609,140,325.84149169921875
1,_level_8,16.066770553588867,5.309340000152588,151,325.9576110839844
1,_level_8,16.46302032470703,4.179172992706299,166,326.05810546875
1,_level_8,16.34404945373535,2.9880690574645996,191,326.1585998535156
1,_level_8,15.777429580688477,1.6694060564041138,211,326.2742919921875
1,_level_8,15.054929733276367,0.713496208190918,222,326.3742980957031
1,_level_8,14.041319847106934,-0.30923840403556824,225,326.49090576171875
1,_level_8,13.192790031433105,-1.1577659845352173,225,326.5914001464844
1,_level_8,12.174559593200684,-2.1760010719299316,225,326.7073974609375
1,_level_8,11.326029777526855,-3.024528980255127,225,326.80828857421875
1,_level_8,10.477510452270508,-3.873055934906006,225,326.90869140625
1,_level_8,9.459273338317871,-4.891289234161377,225,327.0248107910156
1,_level_8,8.610746383666992,-5.739816188812256,225,327.1249084472656
1,_level_8,7.5925140380859375,-6.758049011230469,225,327.2410888671875
1,_level_8,6.743987083435059,-7.606575012207031,225,327.3572998046875
1,_level_8,5.89546012878418,-8.455102920532227,225,327.4578857421875
1,_level_8,4.860005855560303,-9.454933166503906,230,327.5744934082031
1,_level_8,3.6587870121002197,-10.241849899291992,243,327.69061279296875
1,_level_8,3.054892063140869,-9.963020324707031,327,327.7908020019531
1,_level_8,3.71055006980896,-8.961691856384277,38,327.8912048339844
1,_level_8,4.624169826507568,-7.849102020263672,37,328.0071105957031
1,_level_8,4.801351070404053,-6.722896099090576,351,328.10760498046875
1,_level_8,4.416762828826904,-5.592206001281738,333,328.2080078125
1,_level_8,3.434950113296509,-4.5624589920043945,304,328.32470703125
1,_level_8,2.0368309020996094,-4.560521125793457,259,328.44140625
1,_level_8,0.9241408705711365,-5.003927230834961,243,328.5577087402344
1,_level_8,-0.18919940292835236,-5.902955055236816,220,328.67340087890625
1,_level_8,-0.8002148270606995,-6.932116985321045,204,328.7735900878906
1,_level_8,-1.1313649415969849,-8.081467628479004,188,328.8738098144531
1,_level_8,-1.1678030490875244,-9.519951820373535,180,328.99090576171875
1,_level_8,-1.1678030490875244,-10.719949722290039,180,329.0911865234375
1,_level_8,-1.1678030490875244,-12.159950256347656,180,329.2078857421875
1,_level_8,-1.1678030490875244,-13.599949836730957,180,329.3240966796875
1,_level_8,-1.1678030490875244,-15.039950370788574,180,329.4403076171875
1,_level_8,-1.2037409543991089,-16.238449096679688,186,329.54058837890625
1,_level_8,-1.5461920499801636,-17.385900497436523,202,329.6578063964844
1,_level_8,-2.3445401191711426,-18.574499130249023,225,329.773193359375
1,_level_8,-3.331789016723633,-19.247739791870117,243,329.8731994628906
1,_level_8,-4.464869022369385,-19.631689071655273,259,329.973388671875
1,_level_8,-5.900656223297119,-19.704240798950195,270,330.09039306640625
1,_level_8,-7.340653896331787,-19.704240798950195,270,330.2063903808594
1,_level_8,-8.539255142211914,-19.66958999633789,276,330.3064880371094
1,_level_8,-9.688959121704102,-19.339689254760742,292,330.4065856933594
1,_level_8,-10.722920417785645,-18.735599517822266,305,330.5071105957031
1,_level_8,-11.794659614562988,-17.777040481567383,315,330.62298583984375
1,_level_8,-12.629850387573242,-16.915739059448242,318,330.7231140136719
1,_level_8,-13.318039894104004,-15.93435001373291,329,330.8236999511719
1,_level_8,-13.48805046081543,-14.783129692077637,6,330.93939208984375
1,_level_8,-13.044710159301758,-13.417659759521484,24,331.0403137207031
1,_level_8,-12.39210033416748,-12.412440299987793,37,331.14068603515625
1,_level_8,-11.580619812011719,-11.529029846191406,45,331.2569885253906
1,_level_8,-11.998310089111328,-10.179100036621094,325,331.37298583984375
1,_level_8,-12.973759651184082,-9.517751693725586,287,331.4737854003906
1,_level_8,-14.40602970123291,-9.421028137207031,270,331.59039306640625
1,_level_8,-15.846019744873047,-9.421028137207031,270,331.7066955566406
1,_level_8,-17.28569984436035,-9.408588409423828,273,331.822509765625
1,_level_8,-18.439300537109375,-9.09508991241455,293,331.9230041503906
1,_level_8,-19.345720291137695,-8.321510314941406,320,332.0234069824219
1,_level_8,-19.803789138793945,-7.218851089477539,345,332.139404296875
1,_level_8,-19.862459182739258,-6.023309230804443,3,332.23968505859375
1,_level_8,-19.47319984436035,-4.643005847930908,24,332.3561096191406
1,_level_8,-18.79715919494629,-3.660386085510254,45,332.45660400390625
1,_level_8,-17.584510803222656,-2.8979079723358154,63,332.57269287109375
1,_level_8,-16.588329315185547,-2.233280897140503,51,332.6726989746094
1,_level_8,-15.752710342407227,-1.376708984375,39,332.7727966308594
1,_level_8,-15.413260459899902,-0.07073783874511719,351,332.8894958496094
1,_level_8,-15.76830005645752,1.0726699829101563,341,332.9898986816406
1,_level_8,-15.547750473022461,2.4880030155181885,17,333.1055908203125
1,_level_8,-14.954560279846191,3.5216710567474365,39,333.20599365234375
1,_level_8,-13.984399795532227,4.212123870849609,63,333.30609130859375
1,_level_8,-12.827569961547852,4.51397705078125,82,333.4065856933594
1,_level_8,-11.628689765930176,4.537243843078613,90,333.5068054199219
1,_level_8,-10.188690185546875,4.537243843078613,90,333.6224060058594
1,_level_8,-9.004640579223633,4.713183879852295,76,333.7392883300781
1,_level_8,-8.624458312988281,5.599950790405273,350,333.8393859863281
1,_level_8,-9.176904678344727,6.926866054534912,332,333.9562072753906
1,_level_8,-9.923364639282227,8.15704345703125,331,334.0722961425781
1,_level_8,-9.877269744873047,9.556973457336426,14,334.1882019042969
1,_level_8,-9.363447189331055,10.63230037689209,35,334.2886962890625
1,_level_8,-8.244394302368164,11.511639595031738,63,334.4049987792969
1,_level_8,-7.192895889282227,12.08506965637207,57,334.5054931640625
