strategy,forager,level,collection_num,obj_ID,point_value,distance,turning_angle,neighbor_value,used,time
ta,84,6,49,68,5.0,21.02974084481309,-4.808284421841843,0.482842712474619,0,35.38218735334355
ta,84,6,50,1,5.0,9.86154146165801,-1.3171222306562538,0.44956066981809384,0,35.997062815244895
ta,84,6,50,2,5.0,5.0,-0.7853981633974483,0.44956066981809384,0,35.997062815244895
ta,84,6,50,3,5.0,7.0710678118654755,-1.5707963267948966,0.482842712474619,0,35.997062815244895
ta,84,6,50,4,5.0,11.180339887498949,-1.8925468811915387,0.5685569981889047,0,35.997062815244895
ta,84,6,50,5,5.0,3.5355339059327378,-1.5707963267948966,0.482842712474619,0,35.997062815244895
ta,84,6,50,6,5.0,7.905694150420948,-2.0344439357957027,0.565685424949238,0,35.997062815244895
ta,84,6,50,7,5.0,3.5,0.7853981633974483,0.565685424949238,0,35.997062815244895
ta,84,6,50,8,5.0,0.0,,0.44956066981809384,0,35.997062815244895
ta,84,6,50,9,5.0,5.0,-2.356194490192345,0.5685569981889047,0,35.997062815244895
ta,84,6,50,10,5.0,10.0,-2.356194490192345,0.565685424949238,0,35.997062815244895
ta,84,6,50,11,5.0,13.5,-2.356194490192345,0.5685569981889047,0,35.997062815244895
ta,84,6,50,12,5.0,3.5355339059327378,-3.141592653589793,0.44956066981809384,0,35.997062815244895
ta,84,6,50,13,5.0,7.905694150420948,-2.677945044588987,0.565685424949238,0,35.997062815244895
ta,84,6,50,14,5.0,5.0,-3.9269908169872414,0.565685424949238,0,35.997062815244895
ta,84,6,50,16,5.0,11.180339887498949,-2.819842099193151,0.565685424949238,0,35.997062815244895
ta,84,6,50,17,5.0,9.86154146165801,-3.395266749728436,0.482842712474619,0,35.997062815244895
ta,84,6,50,18,5.0,34.96069221282668,-3.6369038846662134,0.3276927682076162,0,35.997062815244895
ta,84,6,50,19,5.0,31.622776601683793,-3.6052402625905993,0.44956066981809384,0,35.997062815244895
ta,84,6,50,20,5.0,30.4138126514911,-3.7618421395726145,0.5685569981889047,0,35.997062815244895
ta,84,6,50,21,5.0,33.54101966249684,-3.4633432079864352,0.482842712474619,0,35.997062815244895
ta,84,6,50,22,5.0,28.50438562747845,-3.660738767836316,0.482842712474619,0,35.997062815244895
ta,84,6,50,23,5.0,30.20761493398643,-3.5003633238603653,0.565685424949238,0,35.997062815244895
ta,84,6,50,24,5.0,25.04495957273639,-3.8670626618660338,0.565685424949238,0,35.997062815244895
ta,84,6,50,25,5.0,25.495097567963924,-3.729595257137361,0.44956066981809384,0,35.997062815244895
ta,84,6,50,26,5.0,26.92582403567252,-3.5464844398748765,0.5685569981889047,0,35.997062815244895
ta,84,6,50,27,5.0,29.154759474226502,-3.3865713167166573,0.565685424949238,0,35.997062815244895
ta,84,6,50,28,5.0,31.100643080167973,-3.2899204877115578,0.5685569981889047,0,35.997062815244895
ta,84,6,50,29,5.0,23.717082451262844,-3.6052402625905993,0.44956066981809384,0,35.997062815244895
