strategy,forager,level,total_time,total_dist,ta_wt,nn_wt,clst_wt,rmi
clst,6,1,895.7368256031849,10300.973494436612,0,0,0.6949001998931483,0.008484735023311152
clst,6,2,432.16265940163095,4969.870583118749,0,0,0.6949001998931483,0.1112060593837898
clst,6,3,737.0111422662018,8475.628136061307,0,0,0.6949001998931483,0.011597954677059596
clst,6,4,536.4632857637324,6169.327786282926,0,0,0.6949001998931483,0.22792805966947793
clst,6,5,695.9893682837792,8003.877735263466,0,0,0.6949001998931483,0.011276076615411412
clst,6,6,353.01522024795287,4059.675032851455,0,0,0.6949001998931483,0.08767075804661051
clst,6,7,611.9098352934623,7036.963105874815,0,0,0.6949001998931483,0.009236124778508992
clst,6,8,360.940389458245,4150.814478769808,0,0,0.6949001998931483,0.9757284023444391
clst,6,9,281.0695450155394,3232.2997676787045,0,0,0.6949001998931483,0.290402123103793
clst,6,10,423.8719544119032,4874.527475736889,0,0,0.6949001998931483,0.02145439151821804
clst,7,1,876.7336881438723,10082.43741365454,0,0,1.163594754691181,0.012586696497925765
clst,7,2,422.8797260793807,4863.116849912871,0,0,1.163594754691181,0.11222851430876357
clst,7,3,727.0062253770274,8360.571591835802,0,0,1.163594754691181,0.015249934410945132
clst,7,4,526.8069862711656,6058.280342118414,0,0,1.163594754691181,0.18085276725439137
clst,7,5,730.0292332382392,8395.336182239755,0,0,1.163594754691181,0.009143304736588198
clst,7,6,363.3559984910638,4178.5939826472295,0,0,1.163594754691181,0.09557723451302136
clst,7,7,626.7626292591053,7207.770236479706,0,0,1.163594754691181,0.007622449342290394
clst,7,8,360.9293743517902,4150.687805045579,0,0,1.163594754691181,0.9594246937224726
clst,7,9,268.38432961921336,3086.419790620954,0,0,1.163594754691181,0.29300831505767766
clst,7,10,488.3057900973939,5615.516586120039,0,0,1.163594754691181,0.019938424068008387
clst,8,1,875.0111151277041,10062.627823968602,0,0,1.080249502356039,0.01457822333840153
clst,8,2,458.10624934844896,5268.221867507158,0,0,1.080249502356039,0.09444448519762105
clst,8,3,711.7457509007803,8185.076135358963,0,0,1.080249502356039,0.006942757665776678
clst,8,4,574.4558563146022,6606.24234761793,0,0,1.080249502356039,0.22165184483798317
clst,8,5,712.2841200203262,8191.267380233754,0,0,1.080249502356039,0.016362529635916112
clst,8,6,348.87478637050486,4012.0600432608007,0,0,1.080249502356039,0.10074113564045828
clst,8,7,630.584568340312,7251.722535913588,0,0,1.080249502356039,0.005423480131549141
clst,8,8,361.8072375726495,4160.783232085461,0,0,1.080249502356039,0.9603550549702145
clst,8,9,246.5185090571864,2834.9628541576403,0,0,1.080249502356039,0.49467988467362733
clst,8,10,459.47509179630816,5283.963555657548,0,0,1.080249502356039,0.04905328315419166
clst,9,1,852.6640348978341,9805.636401325091,0,0,0.7561769114631738,0.01749898302138686
clst,9,2,433.7499787332263,4988.1247554321,0,0,0.7561769114631738,0.11247063914591893
clst,9,3,710.4566981250064,8170.252028437569,0,0,0.7561769114631738,0.011142728797838064
clst,9,4,554.1030077223973,6372.184588807576,0,0,0.7561769114631738,0.23751121050594093
clst,9,5,738.0300801616706,8487.345921859209,0,0,0.7561769114631738,0.014346088917891464
clst,9,6,351.2567498966299,4039.4526238112376,0,0,0.7561769114631738,0.11391774032600055
clst,9,7,599.9354066456768,6899.257176425287,0,0,0.7561769114631738,0.009335691341619268
clst,9,8,341.44190766447883,3926.5819381414994,0,0,0.7561769114631738,0.8294365614875342
clst,9,9,274.8577022054784,3160.863575363003,0,0,0.7561769114631738,0.31582106567142154
clst,9,10,410.89230238479615,4725.261477425157,0,0,0.7561769114631738,0.03003789609890417
clst,10,1,870.1685289253836,10006.93808264191,0,0,1.587174618443178,0.014580247069154506
clst,10,2,428.0792622664076,4922.911516063683,0,0,1.587174618443178,0.09339023680935654
clst,10,3,705.2088001912861,8109.901202199779,0,0,1.587174618443178,0.015354740740943562
clst,10,4,560.7634571761977,6448.779757526285,0,0,1.587174618443178,0.17866060625570657
clst,10,5,727.3557927215041,8364.591616297306,0,0,1.587174618443178,0.013671799418425667
clst,10,6,354.89132105147337,4081.2501920919376,0,0,1.587174618443178,0.11232538765431432
clst,10,7,605.5863923861323,6964.243512440526,0,0,1.587174618443178,0.013882703935495733
clst,10,8,363.4865149075157,4180.094921436421,0,0,1.587174618443178,0.975850370171854
clst,10,9,259.22430562493975,2981.079514686804,0,0,1.587174618443178,0.29344824957684
clst,10,10,494.7331892362547,5689.431676216932,0,0,1.587174618443178,0.0808806390578577
clst,11,1,856.6473294891848,9851.44428912563,0,0,1.489121519874562,0.010253004615382588
clst,11,2,440.37161750253335,5064.273601279128,0,0,1.489121519874562,0.10358439722730906
clst,11,3,716.5678496460164,8240.530270929185,0,0,1.489121519874562,0.008256639475635152
clst,11,4,558.7042197264162,6425.098526853795,0,0,1.489121519874562,0.15124896965327594
clst,11,5,695.0213513672935,7992.745540723877,0,0,1.489121519874562,0.008647216046109851
clst,11,6,379.8942254832998,4368.783593057942,0,0,1.489121519874562,0.09621473278058146
clst,11,7,606.5744079267455,6975.605691157573,0,0,1.489121519874562,0.00854634859784642
clst,11,8,355.67956169916636,4090.314959540405,0,0,1.489121519874562,0.9185027841898237
clst,11,9,249.2989711156964,2866.9381678305062,0,0,1.489121519874562,0.3537558348040446
clst,11,10,438.31847379818566,5040.662448679142,0,0,1.489121519874562,0.012829237693111506
clst,12,1,872.088399168806,10029.01659044126,0,0,1.470224648495467,0.006295446296205265
clst,12,2,437.81086027779105,5034.824893194592,0,0,1.470224648495467,0.094830584231688
clst,12,3,708.6515368132476,8149.492673352337,0,0,1.470224648495467,0.017287721334715567
clst,12,4,543.9935185738128,6255.92546359885,0,0,1.470224648495467,0.12463075115343203
clst,12,5,737.4122397823276,8480.240757496771,0,0,1.470224648495467,0.014694555543019572
clst,12,6,370.8910606769889,4265.2471977853675,0,0,1.470224648495467,0.1037942012362787
clst,12,7,618.1286121773664,7108.479040039713,0,0,1.470224648495467,0.011143301534969785
clst,12,8,363.96301306666714,4185.574650266663,0,0,1.470224648495467,1
clst,12,9,253.23091219538023,2912.155490246869,0,0,1.470224648495467,0.46508632700888075
clst,12,10,456.7530196459313,5252.659725928213,0,0,1.470224648495467,0.022736576933153785
clst,13,1,879.6526321615448,10116.005269857762,0,0,0.885268101201938,0.012458856183668932
clst,13,2,446.4651448347259,5134.349165599344,0,0,0.885268101201938,0.0757652925853548
clst,13,3,723.8448200040472,8324.215430046532,0,0,0.885268101201938,0.008115380483165069
clst,13,4,562.502566552892,6468.779515358266,0,0,0.885268101201938,0.17759067702063813
clst,13,5,733.2658304243918,8432.557049880512,0,0,0.885268101201938,0.01293432044962406
clst,13,6,335.24394128630826,3855.305324792539,0,0,0.885268101201938,0.09681887481054696
clst,13,7,634.4708640022382,7296.414936025744,0,0,0.885268101201938,0.005190682797604151
clst,13,8,237.65592676617575,2733.043157811018,0,0,0.885268101201938,0.3945812680341183
clst,13,9,279.82844772870305,3218.027148880083,0,0,0.885268101201938,0.3363475417383732
clst,13,10,483.2480829999879,5557.352954499864,0,0,0.885268101201938,0.043313377532391506
clst,14,1,875.7066148629115,10070.626070923485,0,0,1.2065314321528249,0.013013675349413556
clst,14,2,423.56905593278657,4871.044143227036,0,0,1.2065314321528249,0.10315888679440177
clst,14,3,691.9424718385748,7957.338426143604,0,0,1.2065314321528249,0.0038135202488418507
clst,14,4,554.7573753469896,6379.709816490387,0,0,1.2065314321528249,0.20445531230142144
clst,14,5,756.0441483749197,8694.507706311584,0,0,1.2065314321528249,0.015871341015171958
clst,14,6,367.23403071562313,4223.19135322966,0,0,1.2065314321528249,0.09985456073549603
clst,14,7,629.4155298208905,7238.278592940237,0,0,1.2065314321528249,0.012326070299924163
clst,14,8,363.3675855458132,4178.727233776843,0,0,1.2065314321528249,1
clst,14,9,252.6230236810045,2905.1647723315486,0,0,1.2065314321528249,0.3888425529167622
clst,14,10,409.2352692712834,4706.205596619756,0,0,1.2065314321528249,0.047054701833436297
clst,15,1,857.092409556531,9856.562709900105,0,0,1.1140339642141368,0.008819624009835714
clst,15,2,459.9305752059145,5289.2016148680095,0,0,1.1140339642141368,0.10623642137156986
clst,15,3,704.4158736426122,8100.782546890026,0,0,1.1140339642141368,0.01478278913083697
clst,15,4,545.2990394274153,6270.938953415283,0,0,1.1140339642141368,0.16371663797102998
clst,15,5,760.7103700444654,8748.169255511355,0,0,1.1140339642141368,0.00761298793717502
clst,15,6,365.64973299730974,4204.971929469057,0,0,1.1140339642141368,0.09580578902825576
clst,15,7,600.3823084470785,6904.3965471413985,0,0,1.1140339642141368,0.007053517794735065
clst,15,8,363.90406617560166,4184.89676101941,0,0,1.1140339642141368,0.9778650260574613
clst,15,9,257.4728831542713,2960.9381562741155,0,0,1.1140339642141368,0.3292431462966403
clst,15,10,457.4701437264158,5260.906652853789,0,0,1.1140339642141368,0.03812015134277491
clst,16,1,850.9067494151507,9785.427618274225,0,0,1.3167842961023764,0.009872253254291419
clst,16,2,427.5519572850477,4916.847508778041,0,0,1.3167842961023764,0.12683241770790754
clst,16,3,739.3658569023194,8502.707354376655,0,0,1.3167842961023764,0.005751026427340489
clst,16,4,573.7239636064982,6597.825581474742,0,0,1.3167842961023764,0.10678343833944792
clst,16,5,723.8993612865122,8324.842654794891,0,0,1.3167842961023764,0.009487548109691546
clst,16,6,381.1636433452903,4383.381898470834,0,0,1.3167842961023764,0.11891338249524652
clst,16,7,632.4486968763923,7273.160014078511,0,0,1.3167842961023764,0.008318269656493182
clst,16,8,360.9327956474229,4150.7271499453545,0,0,1.3167842961023764,0.9495344628173253
clst,16,9,245.232934915398,2820.1787515270735,0,0,1.3167842961023764,0.3469916366348951
clst,16,10,473.35758132963105,5443.612185290761,0,0,1.3167842961023764,0.01620320122801533
clst,17,1,879.5867958229898,10115.248151964372,0,0,1.4156844930820438,0.011035880518036056
clst,17,2,440.8843290851173,5070.169784478843,0,0,1.4156844930820438,0.08374534191259764
clst,17,3,728.205240532129,8374.3602661194709,0,0,1.4156844930820438,0.008204490762262484
clst,17,4,569.6253287087343,6550.691280150452,0,0,1.4156844930820438,0.1316059291107179
clst,17,5,784.6837461398843,9023.86308060868,0,0,1.4156844930820438,0.017760032101781453
clst,17,6,359.167794765133,4130.4296397990265,0,0,1.4156844930820438,0.090308662912705
clst,17,7,629.9584630722106,7244.522325330426,0,0,1.4156844930820438,0.010891621726151768
clst,17,8,362.79808193936486,4172.1779423026865,0,0,1.4156844930820438,1
clst,17,9,249.0946950780626,2864.5889933977132,0,0,1.4156844930820438,0.34959858415950174
clst,17,10,443.0924149546731,5095.562771978751,0,0,1.4156844930820438,0.04152850547630038
clst,18,1,873.3084087937428,10043.04670112804,0,0,0.5705695602417332,0.01001561032214715
clst,18,2,447.6002560130346,5147.402944149893,0,0,0.5705695602417332,0.08844320259652239
clst,18,3,695.9987349907553,8003.985452393685,0,0,0.5705695602417332,0.0075805806865471
clst,18,4,568.7592609007073,6540.73150035814,0,0,0.5705695602417332,0.15765890181578124
clst,18,5,746.5074954060061,8584.83619716907,0,0,0.5705695602417332,0.013663721209177138
clst,18,6,362.1918682026069,4165.206484329973,0,0,0.5705695602417332,0.09940527290723256
clst,18,7,623.9012538739469,7174.864419550391,0,0,0.5705695602417332,0.006223421583806177
clst,18,8,363.5987859623926,4181.386038567505,0,0,0.5705695602417332,1
clst,18,9,295.6723949904037,3400.232542389646,0,0,0.5705695602417332,0.23231893925167557
clst,18,10,453.8396681729376,5219.156183988785,0,0,0.5705695602417332,0.026000275844682563
clst,19,1,886.0292307882463,10189.336154064826,0,0,0.971129137193233,0.013663341937045215
clst,19,2,447.16891629335606,5142.442537373588,0,0,0.971129137193233,0.11754231555649086
clst,19,3,723.9221327116817,8325.104526184328,0,0,0.971129137193233,0.012154442760757944
clst,19,4,571.3879073743918,6570.960934805513,0,0,0.971129137193233,0.1460277962342702
clst,19,5,720.5689084936836,8286.542447677359,0,0,0.971129137193233,0.012761711425236633
clst,19,6,370.4218205522304,4259.8509363506455,0,0,0.971129137193233,0.09641461795028827
clst,19,7,615.7537973261935,7081.168669251227,0,0,0.971129137193233,0.005171600477956728
clst,19,8,361.9993849623101,4162.992927066556,0,0,0.971129137193233,0.9736165038472431
